Notes,County,State,FIPS,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,Whatcom County, WA,53073,30,216800,13.8,9.3,19.8,2.5,0.10%
,Yakima County, WA,53077,33,249636,13.2,9.1,18.6,2.3,0.10%
,Berkeley County, WV,54003,24,113525,21.1,13.5,31.5,4.3,0.10%
,Cabell County, WV,54011,21,95987,21.9,13.5,33.4,4.8,0.00%
,Fayette County, WV,54019,12,44323,Unreliable,14,47.3,7.8,0.00%
,Harrison County, WV,54033,10,68400,Unreliable,7,26.9,4.6,0.00%
,Jefferson County, WV,54037,10,56368,Unreliable,8.5,32.6,5.6,0.00%
,Kanawha County, WV,54039,46,186241,24.7,18.1,32.9,3.6,0.10%
,Logan County, WV,54045,10,33700,Unreliable,14.2,54.6,9.4,0.00%
,Marion County, WV,54049,10,56538,Unreliable,8.5,32.5,5.6,0.00%
,Mercer County, WV,54055,13,60468,Unreliable,11.4,36.8,6,0.00%
,Putnam County, WV,54079,11,56941,Unreliable,9.6,34.6,5.8,0.00%
,Raleigh County, WV,54081,25,76601,32.6,21.1,48.2,6.5,0.10%
,Wood County, WV,54107,14,85643,Unreliable,8.9,27.4,4.4,0.00%
,Brown County, WI,55009,56,260401,21.5,16.2,27.9,2.9,0.10%
,Chippewa County, WI,55017,14,63649,Unreliable,12,36.9,5.9,0.00%
,Columbia County, WI,55021,14,56927,Unreliable,13.4,41.3,6.6,0.00%
,Dane County, WI,55025,72,531273,13.6,10.6,17.1,1.6,0.20%
,Dodge County, WI,55027,12,88068,Unreliable,7,23.8,3.9,0.00%
,Eau Claire County, WI,55035,21,102965,20.4,12.6,31.2,4.5,0.00%
,Fond du Lac County, WI,55039,20,102144,19.6,12,30.2,4.4,0.00%
,Jefferson County, WI,55055,10,84625,Unreliable,5.7,21.7,3.7,0.00%
,Kenosha County, WI,55059,23,168183,13.7,8.7,20.5,2.9,0.10%
,La Crosse County, WI,55063,19,118122,Unreliable,9.7,25.1,3.7,0.00%
