Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cabo Verde,CPV,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.33002481,14.93300256,15.53846127,16.14143996,16.74689773,17.34987548,17.95285322,18.55831288,19.16129063,19.76675029,20.36972614,20.44416858,20.51861103,20.59305158,20.66749402,20.74193458,20.81637702,20.89081946,20.96526002,21.03970246,21.11414301,21.35235808,21.59305128,21.83126634,22.06947951,22.30769269,22.54590586,,
Costa Rica,CRI,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.21543282,49.84723759,49.47904235,49.11085189,48.74265666,48.37446142,48.00626618,47.63807094,47.26988049,46.90168525,46.53349001,46.98394046,47.43439091,47.88484136,48.33529181,48.78574226,49.23227671,49.67881116,50.12534082,50.57187527,51.01840971,51.60986978,52.20132985,52.79279471,53.38425478,53.97571485,54.56717492,,
Caribbean small states,CSS,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.32263809,86.26157545,86.20056966,86.13953173,86.07850101,86.01743863,85.95642541,85.89539469,85.83435706,85.77332624,85.71228863,85.667877,85.62344065,85.57905402,85.53461767,85.49020636,85.45192239,85.4136583,85.37539913,85.33713535,85.29885146,85.2546133,85.21037512,85.16615924,85.12192105,85.07768324,85.03344508,,
Cuba,CUB,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.16201117,19.51303493,19.86405868,20.21508471,20.56610846,20.91713222,21.26815597,21.61917972,21.97020575,22.3212295,22.67225326,23.16014807,23.87254487,24.3627815,24.85292827,25.33821871,25.78220427,26.22134536,26.66290868,27.104472,27.54603533,27.93857698,28.55075989,29.67568652,30.24802829,30.76331475,31.27860121,,
Curacao,CUW,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,,
Cyprus,CYP,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.43614725,17.54978395,17.66342064,17.77705568,17.89069238,18.00432907,18.11796576,18.23160246,18.3452375,18.45887419,18.57251089,18.59956717,18.62662344,18.65259806,18.67965434,18.70671062,18.70671062,18.70671062,18.70671062,18.70562731,18.70562731,18.70238069,18.69913407,18.6969691,18.69372248,18.69047586,18.68722924,,
Czech Republic,CZE,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.02355377,34.02355377,34.02355377,34.05461243,34.06496637,34.07532031,34.08567424,34.09602818,34.10637896,34.1167329,34.12708684,34.1529701,34.17885337,34.20473664,34.23505048,34.2609371,34.29126214,34.3171521,34.34304207,34.36893204,34.39927499,34.42516831,34.45552247,34.48588449,34.51178451,34.54215775,34.56358456,,
Germany,DEU,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.36616733,32.38163547,32.39710081,32.41349735,32.42989204,32.44629046,32.46268982,32.48187883,32.50014382,32.51934096,32.53761284,32.55947263,32.58040475,32.60227631,32.62321874,32.64135795,32.65944024,32.67846388,32.69655509,32.71277359,32.73087185,32.73754877,32.74516555,32.71898647,32.72284322,32.73242345,32.69120678,,
Djibouti,DJI,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,,
Dominica,DMA,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66666667,66.30666606,65.96000163,65.60000102,65.24000041,64.8799998,64.53333537,64.17333476,63.81333415,63.46666463,63.10666911,62.7466685,62.38666789,62.03999837,61.67999776,61.32000224,60.96000163,60.61333211,60.2533315,59.90666707,59.54666646,59.18666585,58.84000142,58.48000081,58.1333313,57.77333577,57.41333516,,
